Title,Rating,Votes,Runtimes,Budget,World_Gross,Country,Action,Adventure,Adult,Animation,Comedy,Crime,Documentary,Drama,Fantasy,Family,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Short,Thriller,War,Western
Hababam sinifi,9.5,23362,87,,,Turkey,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Felix Manalo,9.4,3701,,,,Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARx2,9.4,2217,117,"$3,000,000",,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CM101MMXI Fundamentals,9.3,34516,139,,,Turkey,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pink Floyd: P. U. L. S. E. Live at Earls Court,9.3,3319,145,,,UK,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Shawshank Redemption,9.3,1561389,142,"$25,000,000","$58,500,000 (Worldwide)",USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Love Me Haiti,9.2,2258,9,"$25,000",,Sweden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
The Godfather,9.2,1068905,175,"$6,000,000","$245,066,411 (Worldwide) (11 May 1997)",USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RangiTaranga,9.1,8011,149,,,India,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Vchera,9.1,2473,,,,Bulgaria,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tosun Pasa,9.1,13166,90,,,Turkey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Theatre Live: Frankenstein,9.1,1051,,,,UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maratonci trce pocasni krug,9.0,9742,92,,,Yugoslavia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Godfather: Part II,9.0,724564,220,"$13,000,000",,USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Uppi 2,9.0,6418,135,,,India,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Selam: Bahara Yolculuk,9.0,3728,126,,,Turkey,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thani Oruvan,9.0,3135,175,,,India,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
The Dark Knight,9.0,1536823,152,"$185,000,000","$1,004,558,444 (Worldwide) (19 July 2012)",USA,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hababam sinifi sinifta kaldi,9.0,14498,,,,Turkey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S?t kardesler,9.0,12836,,,,Turkey,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ko to tamo peva,8.9,9026,,,,Yugoslavia,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Anand,8.9,8498,122,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Schindler's List,8.9,795371,195,"$22,000,000","$321,306,305 (Worldwide) (30 June 2012)",USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Balkanski spijun,8.9,7086,95,,,Yugoslavia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drishyam,8.9,6912,,,"INR 500,000,000 (worldwide)",India,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Nayakan,8.9,5561,145,,,India,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Anbe Sivam,8.9,4813,,,,India,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Il buono, il brutto, il cattivo",8.9,466270,179,"$1,200,000",,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12 Angry Men,8.9,405800,96,"$350,000",,USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Phantom of the Opera at the Royal Albert Hall,8.9,4009,160,,,UK,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
Creed,8.9,2711,133,"$35,000,000",,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Morometii,8.9,2451,142,,,Romania,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drishyam,8.9,17431,163,"$9,400,000",,India,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Led Zeppelin: Celebration Day,8.9,1531,124,,,UK,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fight Club,8.9,1233907,151,"$63,000,000","$100,853,753 (worldwide)",USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pulp Fiction,8.9,1217498,178,"$8,000,000","$213,928,762 (Worldwide)",USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hababam sinifi uyaniyor,8.9,11619,,,,Turkey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Return of the King,8.9,1120062,263,"$94,000,000","$1,119,929,521 (Worldwide) (25 November 2011)",USA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Saban Oglu Saban,8.9,10469,,,,Turkey,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Z?g?rt Aga,8.8,8360,,,,Turkey,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kibar Feyzo,8.8,8189,,,,Turkey,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode V - The Empire Strikes Back,8.8,734407,127,"$18,000,000","$538,375,067 (Worldwide) (1997)",USA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Neseli G?nler,8.8,4938,92,,,Turkey,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Canim kardesim,8.8,4096,,,,Turkey,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vishwaroopam,8.8,33386,148,,"INR 325,000,000 (Worldwide) (30 April 2013)",India,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Kurmanjan datka,8.8,3115,135,"$1,400,000",,Kyrgyzstan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ningen no j?ken,8.8,2650,190,,,Japan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Jariskatsis mama,8.8,2498,83,,,Soviet Union,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Watermark,8.8,2379,,,,Australia,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Papanasam,8.8,1957,179,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Al-ris?lah,8.8,1690,170,,,Libya,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Az ?t?dik pecs?t,8.8,1500,,,,Hungary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Reclaiming the Blade,8.8,1405,,"$300,000",,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Orkestar bez ime,8.8,1391,112,,,Bulgaria,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Inception,8.8,1336357,148,"$160,000,000","$825,532,764 (Worldwide) (6 January 2011)",USA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Tis kakomoiras,8.8,1289,96,,,Greece,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ennu Ninte Moideen,8.8,1247,166,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Boruto: Naruto the Movie,8.8,1215,95,,,Japan,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lord of the Rings: The Fellowship of the Ring,8.8,1144702,228,"$93,000,000","$871,530,324 (Worldwide) (25 November 2011)",New Zealand,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Forrest Gump,8.8,1134302,142,"$55,000,000","$677,945,399 (worldwide)",USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Hababam sinifi tatilde,8.8,10410,97,,,Turkey,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pries parskrendant i zeme,8.8,1033,52,,,Germany,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selvi boylum, al yazmalim",8.8,10186,,,,Turkey,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Star Wars,8.7,805027,125,"$11,000,000","$775,398,007 (Worldwide) (25 November 2011)",USA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Interstellar,8.7,776605,169,"$165,000,000","$675,020,017 (worldwide)",USA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Goodfellas,8.7,672306,146,"$25,000,000",,USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chaar Sahibzaade,8.7,6615,128,,,India,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pink Floyd at Pompeii,8.7,6382,92,,,Belgium,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
One Flew Over the Cuckoo's Nest,8.7,630756,133,"$4,400,000",,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gol Maal,8.7,5615,144,,,India,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bahubali: The Beginning,8.7,54113,159,"$40,000,000",,India,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cidade de Deus,8.7,494724,130,"$3,300,000",,Brazil,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lajanje na zvezde,8.7,3617,,,,Federal Republic of Yugoslavia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Les Mis?rables in Concert: The 25th Anniversary,8.7,3599,178,,,UK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Babam ve oglum,8.7,32879,,,,Turkey,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1 - Nenokkadine,8.7,32728,170,"$10,990,000",,India,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Andaz Apna Apna,8.7,26109,160,,,India,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Pushpak,8.7,2312,125,,,India,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Battle of Surabaya,8.7,2241,,"$5,000,000",,Indonesia,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shichinin no samurai,8.7,213485,207,"$2,000,000",,Japan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thevar Magan,8.7,1956,145,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Seppuku,8.7,17319,133,,,Japan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Winter on Fire,8.7,1539,102,,,UK,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
J...,8.7,1475,16,,,Canada,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Bey Yaar,8.7,1405,150,,,India,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Kireedam,8.7,1402,124,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kaakkaa Muttai,8.7,1383,91,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A tizedes meg a t?bbiek,8.7,1196,,,,Hungary,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
??p??ler Krali,8.7,11923,80,,,Turkey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Goopy Gyne Bagha Byne,8.7,1167,132,,,India,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Earthlings,8.7,11498,,,,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Roger Waters the Wall,8.7,1145,132,,,UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Matrix,8.7,1121333,136,"$63,000,000","$463,517,383 (worldwide)",USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Flashback,8.7,1066,106,,,Italy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Sagara Sangamam,8.7,1038,160,,,India,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
The Lord of the Rings: The Two Towers,8.7,1010461,235,"$94,000,000","$926,047,111 (Worldwide) (25 November 2011)",USA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lepa sela lepo gore,8.6,9969,115,,,Federal Republic of Yugoslavia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
City Lights,8.6,97598,87,"$1,500,000",,USA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Filantropica,8.6,9628,110,,,Romania,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Se7en,8.6,938196,127,"$33,000,000","$327,311,859 (worldwide)",USA,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
The Silence of the Lambs,8.6,807493,138,"$19,000,000","$272,742,922 (Worldwide)",USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Saving Private Ryan,8.6,806448,169,"$70,000,000","$481,840,909 (Worldwide) (15 June 2012)",USA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
American History X,8.6,723888,119,"$7,500,000","$23,875,127 (Worldwide) (17 July 2011)",USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black Friday,8.6,7078,143,,,India,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Usual Suspects,8.6,684199,106,"$6,000,000",,USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Sigur R?s: Heima,8.6,6770,,,,Iceland,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Operatsiya 'Y' i drugie priklyucheniya Shurika,8.6,6736,95,,,Soviet Union,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L?on,8.6,664954,133,,,France,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Duck Amuck,8.6,6128,7,,,USA,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Dzhentlmeny udachi,8.6,5930,88,,,Soviet Union,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
S?t?ntang?,8.6,5758,450,,,Hungary,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jaane Bhi Do Yaaro,8.6,5603,132,,,India,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Muhsin Bey,8.6,5599,145,,,Turkey,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Louis C.K.: Hilarious,8.6,5410,82,,,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marmoulak,8.6,5117,115,,,Iran,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cowspiracy: The Sustainability Secret,8.6,4614,85,,,USA,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Intouchables,8.6,445413,112,,"$426,588,510 (Worldwide) (10 February 2015)",France,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Senna,8.6,43093,106,,,UK,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L'homme qui plantait des arbres,8.6,4291,30,,,Canada,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
La vita ? bella,8.6,379154,116,,"$229,163,264 (Worldwide) (30 June 2012)",Italy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Sen to Chihiro no kamikakushi,8.6,376502,125,,"$274,925,095 (worldwide)",Japan,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Casablanca,8.6,362479,102,"$950,000",,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Ulidavaru Kandanthe,8.6,3563,154,,,India,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Talvar,8.6,3537,132,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Thalapathi,8.6,2974,157,,,India,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Muhammad: The Messenger of God,8.6,2814,178,"$40,000,000",,Iran,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
G?len G?zler,8.6,2726,97,,,Turkey,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Varljivo leto '68,8.6,2617,91,,,Yugoslavia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Baraka,8.6,26032,96,"$2,000,000",,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Manichithrathazhu,8.6,2546,169,,,India,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
V boy idut odni 'stariki',8.6,2518,92,"$500,000",,Soviet Union,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
It's a Wonderful Life,8.6,251665,130,"$3,180,000",,USA,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Madar,8.6,2456,,,,Iran,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Message,8.6,24188,177,"$10,000,000",,Lebanon,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sholay,8.6,23726,204,,,India,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Bad Hero,8.6,2312,,"$100,000",,USA,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Hera Pheri,8.6,22494,156,,,India,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C'era una volta il West,8.6,199921,165,"$5,000,000",,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Day We Disappear,8.6,1871,24,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Dear Zachary: A Letter to a Son About His Father,8.6,18236,,,,USA,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Home,8.6,17867,95,,,France,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Kuruthipunal,8.6,1692,143,,,India,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Vreme na nasilie,8.6,1626,288,,,Bulgaria,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Maikol Yordan de Viaje Perdido,8.6,1550,101,"$200,000",,Costa Rica,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Istoria mias kalpikis liras,8.6,1398,127,,,Greece,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Modern Times,8.6,128521,87,"$1,500,000",,USA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nuit et brouillard,8.6,11811,32,,,France,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
B.D. ?n alerta,8.6,1114,95,,,Romania,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upendra,8.6,1108,,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
B.D. la munte si la mare,8.6,1101,100,,,Romania,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nadodikkattu,8.6,1060,158,,,India,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brigada Diverse intra ?n actiune,8.6,1048,100,,,Romania,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gladiator,8.5,902224,171,"$103,000,000","$457,640,427 (Worldwide) (28 February 2012)",USA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Le trou,8.5,8557,132,,,France,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Django Unchained,8.5,851008,165,"$100,000,000","$425,368,238 (Worldwide)",USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Departed,8.5,799352,151,"$90,000,000","$289,847,354 (Worldwide) (22 March 2007)",USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Memento,8.5,783353,113,"$9,000,000","$39,723,096 (Worldwide) (18 November 2001)",USA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Brilliantovaya ruka,8.5,7751,100,,,Soviet Union,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Taare Zameen Par,8.5,77021,165,,,India,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Prestige,8.5,768731,130,"$40,000,000","$109,676,311 (Worldwide) (8 February 2007)",USA,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
Lucia,8.5,7137,135,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
The Green Mile,8.5,708942,189,"$60,000,000","$286,801,374 (worldwide)",USA,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Terminator 2: Judgment Day,8.5,687275,156,"$102,000,000","$519,843,345 (Worldwide)",USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Back to the Future,8.5,663287,116,"$19,000,000","$381,109,762 (Worldwide)",USA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",8.5,6365,82,,,Soviet Union,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Raiders of the Lost Ark,8.5,609055,115,"$18,000,000","$389,925,971 (worldwide)",USA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lion King,8.5,579976,89,"$45,000,000","$987,483,777 (Worldwide) (12 November 2013)",USA,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Kapicilar Krali,8.5,5764,84,,,Turkey,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alien,8.5,518684,117,"$11,000,000","$203,630,630 (Worldwide)",USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
O Auto da Compadecida,8.5,5155,104,,,Brazil,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi nismo andjeli,8.5,5073,98,,,Federal Republic of Yugoslavia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athadu,8.5,4781,172,,,India,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
The Pianist,8.5,453378,150,"$35,000,000","$120,072,577 (Worldwide)",France,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Z?b?k,8.5,4527,88,,,Turkey,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sluzhebnyy roman,8.5,4515,159,,,Soviet Union,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Montevideo, vidimo se!",8.5,4498,141,"$5,400,000",,Serbia,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apocalypse Now,8.5,419136,289,"$31,500,000",,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Ilha das Flores,8.5,4014,13,,,Brazil,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
One Froggy Evening,8.5,3944,7,,,USA,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
Psycho,8.5,388379,109,"$806,947","$50,000,000 (Worldwide) (January 2004)",USA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
The Cove,8.5,38673,92,,,USA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chupke Chupke,8.5,3808,127,,,India,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
U?urtmayi Vurmasinlar,8.5,3742,100,,,Turkey,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A tan?,8.5,3677,105,,,Hungary,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kannathil Muthamittal,8.5,3575,,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Ningen no j?ken,8.5,3420,208,,,Japan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Spotlight,8.5,3391,128,,,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Jigarthanda,8.5,3351,171,,,India,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Eskiya,8.5,32960,128,,"$1,979,000 (worldwide) (29 October 1997)",Turkey,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.5,319386,95,"$1,800,000",,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Whiplash,8.5,314129,107,"$3,300,000","$48,982,041 (Worldwide) (1 June 2015)",USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Guide,8.5,3122,183,,,India,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Rear Window,8.5,291748,112,"$1,000,000","$36,888,916 (worldwide)",USA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Pyaasa,8.5,2880,146,,,India,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Rush: Beyond the Lighted Stage,8.5,2862,107,,,Canada,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Matir moina,8.5,2792,,"$300,000",,Bangladesh,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
